GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
36009,"Cattaraugus County, New York",35037,5.5
36011,"Cayuga County, New York",38515,4.2
36013,"Chautauqua County, New York",60470,5.9
36015,"Chemung County, New York",39819,6.0
36019,"Clinton County, New York",39062,3.8
36027,"Dutchess County, New York",153374,4.2
36029,"Erie County, New York",481583,4.6
36045,"Jefferson County, New York",53914,5.4
36047,"Kings County, New York",1337902,6.4
36051,"Livingston County, New York",30759,4.6
36053,"Madison County, New York",35364,3.3
36055,"Monroe County, New York",395502,5.5
36059,"Nassau County, New York",718105,3.4
36061,"New York County, New York",977109,5.4
36063,"Niagara County, New York",107924,4.9
36065,"Oneida County, New York",106667,4.5
36067,"Onondaga County, New York",233460,6.0
36069,"Ontario County, New York",57178,3.3
36071,"Orange County, New York",189549,4.5
36075,"Oswego County, New York",60035,7.3
36079,"Putnam County, New York",55570,5.1
36081,"Queens County, New York",1241175,5.2
36083,"Rensselaer County, New York",84531,5.0
36085,"Richmond County, New York",229408,4.3
36087,"Rockland County, New York",160648,4.6
36089,"St. Lawrence County, New York",48272,6.6
36091,"Saratoga County, New York",127518,3.0
36093,"Schenectady County, New York",77022,10.3
36101,"Steuben County, New York",45527,5.7
36103,"Suffolk County, New York",783953,4.0
36105,"Sullivan County, New York",35200,10.4
36109,"Tompkins County, New York",52812,3.3
36111,"Ulster County, New York",91712,5.3
36113,"Warren County, New York",34337,4.4
36117,"Wayne County, New York",46082,4.6
36119,"Westchester County, New York",518332,5.1
37001,"Alamance County, North Carolina",80630,4.9
37019,"Brunswick County, North Carolina",55318,5.8
37021,"Buncombe County, North Carolina",135971,2.9
37023,"Burke County, North Carolina",40964,5.6
37025,"Cabarrus County, North Carolina",108046,5.0
37027,"Caldwell County, North Carolina",36896,4.3
37031,"Carteret County, North Carolina",33487,4.1
37035,"Catawba County, North Carolina",81378,6.5
37037,"Chatham County, North Carolina",N,N
37045,"Cleveland County, North Carolina",42593,5.6
37049,"Craven County, North Carolina",50257,7.1
37051,"Cumberland County, North Carolina",166757,7.7
37057,"Davidson County, North Carolina",81420,6.9
37063,"Durham County, North Carolina",168965,4.8
37067,"Forsyth County, North Carolina",183430,4.6
37069,"Franklin County, North Carolina",33085,6.1
37071,"Gaston County, North Carolina",111065,6.0
37081,"Guilford County, North Carolina",274154,6.0
37085,"Harnett County, North Carolina",62560,7.4
37089,"Henderson County, North Carolina",55794,3.2
37097,"Iredell County, North Carolina",89683,4.7
37101,"Johnston County, North Carolina",96313,4.4
37109,"Lincoln County, North Carolina",39734,4.0
37119,"Mecklenburg County, North Carolina",597826,4.2
37125,"Moore County, North Carolina",45702,4.8
37127,"Nash County, North Carolina",45609,4.8
37129,"New Hanover County, North Carolina",119896,4.7
37133,"Onslow County, North Carolina",103941,8.2
37135,"Orange County, North Carolina",76851,3.1
37147,"Pitt County, North Carolina",92149,7.5
37151,"Randolph County, North Carolina",68733,5.6
37155,"Robeson County, North Carolina",52499,6.6
37157,"Rockingham County, North Carolina",42342,4.9
37159,"Rowan County, North Carolina",66276,6.7
37161,"Rutherford County, North Carolina",N,N
37171,"Surry County, North Carolina",33720,3.9
37179,"Union County, North Carolina",118680,3.9
37183,"Wake County, North Carolina",591707,3.5
37191,"Wayne County, North Carolina",60143,6.1
37193,"Wilkes County, North Carolina",N,N
37195,"Wilson County, North Carolina",39242,10.0
38015,"Burleigh County, North Dakota",51957,1.5
38017,"Cass County, North Dakota",112030,2.8
38035,"Grand Forks County, North Dakota",41956,4.9
38101,"Ward County, North Dakota",40401,4.7
39003,"Allen County, Ohio",50937,5.5
39007,"Ashtabula County, Ohio",42659,7.5
39009,"Athens County, Ohio",29537,6.0
39013,"Belmont County, Ohio",31457,3.9
39017,"Butler County, Ohio",195811,4.3
39023,"Clark County, Ohio",64527,6.9
39025,"Clermont County, Ohio",107254,4.2
39029,"Columbiana County, Ohio",44749,5.8
39035,"Cuyahoga County, Ohio",642560,7.3
39041,"Delaware County, Ohio",107502,2.8
39043,"Erie County, Ohio",38754,3.1
39045,"Fairfield County, Ohio",77372,4.2
39049,"Franklin County, Ohio",707294,4.5
39055,"Geauga County, Ohio",50201,2.2
39057,"Greene County, Ohio",86356,4.7
39061,"Hamilton County, Ohio",432190,4.6
39063,"Hancock County, Ohio",40701,4.4
39081,"Jefferson County, Ohio",30270,7.1
39085,"Lake County, Ohio",120305,4.6
39089,"Licking County, Ohio",87494,3.7
39093,"Lorain County, Ohio",147503,4.7
39095,"Lucas County, Ohio",214532,7.9
39099,"Mahoning County, Ohio",112977,7.5
39101,"Marion County, Ohio",26562,6.1
39103,"Medina County, Ohio",95071,2.9
39109,"Miami County, Ohio",54076,4.7
39113,"Montgomery County, Ohio",261654,6.6
39119,"Muskingum County, Ohio",40212,4.5
39133,"Portage County, Ohio",88081,5.2
39139,"Richland County, Ohio",55474,5.1
39141,"Ross County, Ohio",32913,6.5
39145,"Scioto County, Ohio",30379,5.0
39151,"Stark County, Ohio",184872,6.0
39153,"Summit County, Ohio",284219,5.2
39155,"Trumbull County, Ohio",91254,5.0
39157,"Tuscarawas County, Ohio",46049,4.5
39165,"Warren County, Ohio",119870,3.5
39169,"Wayne County, Ohio",57685,5.1
39173,"Wood County, Ohio",74049,4.0
40017,"Canadian County, Oklahoma",75222,3.5
40027,"Cleveland County, Oklahoma",149505,3.7
40031,"Comanche County, Oklahoma",62585,9.4
40037,"Creek County, Oklahoma",31720,4.3
40101,"Muskogee County, Oklahoma",26831,6.3
40109,"Oklahoma County, Oklahoma",394755,4.9
40119,"Payne County, Oklahoma",37351,2.4
40125,"Pottawatomie County, Oklahoma",32859,4.8
40131,"Rogers County, Oklahoma",45629,5.5
40143,"Tulsa County, Oklahoma",331123,5.8
40145,"Wagoner County, Oklahoma",39224,6.1
41003,"Benton County, Oregon",48286,3.7
41005,"Clackamas County, Oregon",220473,3.7
41017,"Deschutes County, Oregon",96722,5.1
41019,"Douglas County, Oregon",46223,4.7
41029,"Jackson County, Oregon",102595,5.8
41033,"Josephine County, Oregon",32965,6.8
41035,"Klamath County, Oregon",28315,5.5
41039,"Lane County, Oregon",187124,6.5
41043,"Linn County, Oregon",59546,8.7
41047,"Marion County, Oregon",160413,4.7
41051,"Multnomah County, Oregon",464562,4.7
41053,"Polk County, Oregon",37886,5.4
41059,"Umatilla County, Oregon",35232,4.5
41067,"Washington County, Oregon",325763,4.3
41071,"Yamhill County, Oregon",50613,3.4
42001,"Adams County, Pennsylvania",53264,3.9
42003,"Allegheny County, Pennsylvania",659417,5.0
42005,"Armstrong County, Pennsylvania",30838,5.5
