GEO_ID,NAME,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households
05143,"Washington County, Arkansas",50798,89249,44378,N,27405,47384,53560,23909,58142,62024,44764,67310,27626
05145,"White County, Arkansas",43399,28621,21771,-,-,41514,46117,30522,46740,60463,28048,54744,27298
06001,"Alameda County, California",108322,585632,56404,80892,132144,87795,121424,41723,122341,125154,63568,130556,63478
06007,"Butte County, California",62563,77651,N,50431,78837,58730,65337,32446,71083,82536,48567,76497,32364
06013,"Contra Costa County, California",107135,399792,75748,69625,130240,85682,117558,56998,114645,127274,79597,125976,64200
06017,"El Dorado County, California",87059,74216,67595,N,122003,68638,87413,14554,87327,113461,65918,107034,40854
06019,"Fresno County, California",57518,315974,32245,56128,62326,50213,70955,27114,59412,69479,44335,65568,32413
06023,"Humboldt County, California",51662,55692,N,28729,N,47855,52670,27516,56278,54881,46035,71718,30088
06025,"Imperial County, California",48472,48182,87261,N,96114,45087,67140,47849,60678,54181,32238,57467,22472
06029,"Kern County, California",53067,272888,37139,31183,74012,45024,66718,38523,56329,61811,41088,61124,30789
06031,"Kings County, California",58453,44761,90676,24830,95692,47888,69390,31204,60658,72261,43613,61133,38236
06033,"Lake County, California",47138,25968,31534,70341,59013,50718,46362,-,44843,49132,46911,62253,35666
06037,"Los Angeles County, California",72797,3328398,52136,61559,86544,61174,92457,45526,77193,82465,51826,81912,50256
06039,"Madera County, California",64827,44387,28019,61563,N,60204,71222,30619,66493,69962,62578,67877,34517
06041,"Marin County, California",110843,105298,42675,-,106863,67340,124216,52218,141828,131617,86437,151376,63242
06045,"Mendocino County, California",51744,34478,-,39644,109231,49605,52148,27346,55528,52357,44538,64485,31797
06047,"Merced County, California",61167,80645,34472,71993,90437,55943,68429,53807,60357,70102,48445,65725,34959
06053,"Monterey County, California",77514,128227,64319,78583,101263,63316,96385,41333,76127,95663,67612,81037,56974
06055,"Napa County, California",92769,48107,N,23658,103604,76104,102280,53026,104817,110279,72629,107419,60967
06057,"Nevada County, California",68818,39365,115757,-,51373,61393,69773,74316,73969,72014,56406,88540,36657
06059,"Orange County, California",95934,1044280,66439,101421,98720,73679,107875,46299,100832,111204,68418,107171,61593
06061,"Placer County, California",97723,147236,113563,88380,121876,67660,99062,65053,109523,119996,68707,118132,53554
06065,"Riverside County, California",73260,734948,68465,67936,91959,65882,80283,45250,76820,87748,52642,81921,41120
06067,"Sacramento County, California",72017,556752,47127,51996,85731,63839,79045,47744,72827,86357,57259,82121,49489
06071,"San Bernardino County, California",67903,644758,53021,66331,81919,65903,71910,35545,71266,79845,48615,74969,40091
06073,"San Diego County, California",83985,1132434,59446,62817,101270,64198,94370,48858,90868,99047,61548,96164,55901
06075,"San Francisco County, California",123859,365851,49381,26124,104058,78261,161289,81002,181882,109286,58259,140707,105235
06077,"San Joaquin County, California",68997,230241,56393,73764,89893,59636,76125,46479,69976,83989,50763,76424,41206
06079,"San Luis Obispo County, California",77265,106512,N,N,111583,77570,77260,30157,78030,99977,64199,98277,41847
06081,"San Mateo County, California",138500,265003,81679,88320,153476,85031,153538,74523,161938,163715,84842,158898,80703
06083,"Santa Barbara County, California",75653,146466,57431,94970,97674,63147,87135,34775,79592,90336,63826,90020,48596
06085,"Santa Clara County, California",133076,643637,61424,90091,159464,83414,142481,71162,155414,151334,75758,151620,83190
06087,"Santa Cruz County, California",89269,97710,77859,N,73529,78254,98782,26176,96263,106783,72257,107298,50591
06089,"Shasta County, California",63091,72714,78847,23136,93900,57890,63974,58649,74679,77146,43319,80765,34208
06095,"Solano County, California",86652,150393,64514,N,101483,75747,94753,59133,92014,93943,71195,97754,54826
06097,"Sonoma County, California",87828,190689,69409,67979,104332,75801,91306,53598,91229,110235,67529,101449,58408
06099,"Stanislaus County, California",63037,174698,40716,34896,75984,56465,71735,39374,66019,77578,47105,71339,40473
06101,"Sutter County, California",62777,33039,61903,62273,59909,39992,73498,41477,61614,74259,61551,73964,40276
06103,"Tehama County, California",53475,25310,-,-,82036,41892,58207,-,65467,67015,42851,71428,26347
06107,"Tulare County, California",57692,144109,40589,58984,72108,53844,62422,36367,58355,66522,45975,60190,33703
06111,"Ventura County, California",92236,268524,90678,88320,123049,73765,102007,37990,92221,108877,76764,103818,60967
06113,"Yolo County, California",71417,76075,80836,N,54835,56810,91285,38683,81151,108288,61365,95890,45837
06115,"Yuba County, California",58765,26827,55065,-,75591,69872,56421,57378,66297,62527,51092,65843,41107
08001,"Adams County, Colorado",75804,171977,44088,100994,105169,61541,82837,51147,78566,87564,51577,85129,50622
08005,"Arapahoe County, Colorado",82710,246302,62639,59652,79284,67896,90645,53607,86762,96116,62246,101925,52950
08013,"Boulder County, Colorado",88535,131854,N,N,93121,63828,92330,23915,94330,113856,69952,112791,57077
08014,"Broomfield County, Colorado",111400,28062,86355,81444,152064,115398,111113,51330,130413,135736,81210,136125,73938
08031,"Denver County, Colorado",75646,318445,40149,33408,55508,57211,91161,48873,84071,85811,46783,98247,59201
08035,"Douglas County, Colorado",122867,127476,112458,92867,137581,104633,124002,56121,126725,142351,87603,137073,62494
08041,"El Paso County, Colorado",72830,265798,55684,30739,71320,57134,76823,44580,74016,90784,60147,86411,43252
08059,"Jefferson County, Colorado",90040,236496,93488,62383,85314,62521,96802,57537,93722,112460,63246,111123,55672
08069,"Larimer County, Colorado",75186,146638,46138,52915,62191,63310,76971,30874,83048,96165,61068,100135,44910
08077,"Mesa County, Colorado",60500,63644,-,N,147393,56880,61735,40906,62347,73850,49396,75143,36326
08101,"Pueblo County, Colorado",51276,66111,40977,21037,64598,41043,61204,34688,54749,64761,40717,61720,32443
08123,"Weld County, Colorado",78615,111298,40926,88829,N,58618,87152,46700,82965,95590,46688,92214,40554
09001,"Fairfield County, Connecticut",97053,340557,52992,N,126730,58406,119074,55433,100250,126640,65662,122271,55221
09003,"Hartford County, Connecticut",75381,353234,52326,13907,110271,48106,86625,45916,81436,90954,54519,98558,43299
09005,"Litchfield County, Connecticut",81195,73969,51359,27538,67462,70223,82291,50352,90958,96830,62868,101334,48006
09007,"Middlesex County, Connecticut",76518,66884,30480,-,65561,47962,88744,40917,76018,93591,57946,105242,40892
09009,"New Haven County, Connecticut",69751,329006,43171,68503,102114,42262,81148,33577,73300,82524,54938,89234,40440
09011,"New London County, Connecticut",75633,109752,43799,N,103342,61302,78649,42922,74442,96674,61601,95350,47158
09013,"Tolland County, Connecticut",91028,56749,30624,-,166502,76721,94730,26716,106048,109799,61911,115453,45358
09015,"Windham County, Connecticut",62106,47015,36433,-,N,40186,67847,33365,70173,77545,50273,80815,34242
10001,"Kent County, Delaware",58001,68023,46064,N,66016,37132,66694,31846,56952,74369,45004,69439,36842
10003,"New Castle County, Delaware",76328,211592,56765,75693,110147,65951,90225,17925,76672,89639,62588,95536,49852
10005,"Sussex County, Delaware",65155,96624,41208,84405,115288,53681,68377,46327,65891,79972,56673,82694,37199
11001,"District of Columbia, District of Columbia",92266,291570,48652,N,103171,99799,153327,46374,107215,100405,63927,130291,76529
12001,"Alachua County, Florida",49534,103024,40076,N,77382,35842,55266,16659,54911,71999,47504,80588,29053
12005,"Bay County, Florida",59450,69195,50452,-,38355,56744,61412,36643,64451,60787,55831,70253,37506
12009,"Brevard County, Florida",57305,230043,45242,72140,81225,52109,60441,31579,63151,69414,47515,74025,38963
12011,"Broward County, Florida",61502,705472,49604,63946,71747,61299,70466,41360,67292,71881,44139,73848,40108
12015,"Charlotte County, Florida",54652,76589,29163,-,45188,23655,58246,43800,52273,66508,47242,68349,31723
12017,"Citrus County, Florida",50751,64448,23787,-,N,51136,51487,9632,58539,52943,46963,61680,27241
12019,"Clay County, Florida",76687,75793,76621,-,88750,78942,76197,36887,75270,92431,63106,85175,45043
12021,"Collier County, Florida",76025,140578,50463,-,152000,53520,84886,54734,66490,74880,80237,88736,42421
12023,"Columbia County, Florida",47094,25240,25341,-,-,102537,50996,17374,53123,52436,39216,58953,27037
12031,"Duval County, Florida",58415,368668,42310,53897,82283,51055,67645,34133,60703,67913,43543,69956,40599
12033,"Escambia County, Florida",53136,120618,35968,45673,56345,43995,59866,38172,59213,56191,47537,66018,35425
12035,"Flagler County, Florida",60204,44464,37857,N,N,51954,62872,40992,56088,71366,52866,67146,41257
12053,"Hernando County, Florida",51031,78755,40964,-,N,60787,51073,40726,56433,59566,42897,60506,26726
12055,"Highlands County, Florida",48698,43351,38697,-,N,39197,54050,40188,66824,43413,47778,57168,30907
12057,"Hillsborough County, Florida",61154,541584,46443,36321,89508,49071,72189,35484,63701,73276,46006,74380,40245
12061,"Indian River County, Florida",59782,63917,40594,-,113010,49035,63186,28891,67512,65334,56804,71865,35594
12069,"Lake County, Florida",57588,139192,41658,N,74952,50406,61099,29989,62663,71670,49198,70212,35833
12071,"Lee County, Florida",62240,286887,42897,115817,83079,50921,67846,45925,61746,68886,59537,74882,40255
