GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
12055,"Highlands County, Florida","103,296","50,102","53,194","4,357","8,886","9,589","11,203","5,441","7,876",54.4,"22,809","65,720","7,639",29,"1,692",83,"57,922"
12057,"Hillsborough County, Florida","1,478,194","727,772","750,422","91,661","220,375","210,341","193,347","92,628","88,630",37.9,"447,921","666,824","228,869","1,904","61,721","1,285","617,955"
12061,"Indian River County, Florida","163,662","78,325","85,337","7,113","13,490","14,039","17,923","11,993","13,449",55.1,"21,828","118,288","13,360",51,"2,634",0,"84,979"
12069,"Lake County, Florida","395,804","193,034","202,770","20,033","42,953","44,737","46,061","25,138","29,154",46.7,"70,970","257,623","41,002",110,"6,302",210,"182,361"
12071,"Lee County, Florida","787,976","388,331","399,645","37,552","83,705","83,683","88,968","51,718","61,500",49.5,"187,359","500,489","58,335",472,"13,573",269,"428,910"
12073,"Leon County, Florida","292,817","138,851","153,966","44,160","40,541","33,275","30,033","13,294","16,672",32.0,"20,561","159,041","87,174",44,"9,417",218,"135,684"
12081,"Manatee County, Florida","412,703","200,108","212,595","20,688","42,096","43,371","48,015","27,333","35,738",49.9,"70,482","283,796","33,552",293,"8,988",85,"212,671"
12083,"Marion County, Florida","385,915","186,139","199,776","19,210","40,669","39,797","44,534","28,586","24,851",48.5,"59,704","259,468","44,627",358,"6,708",0,"181,743"
12085,"Martin County, Florida","159,942","77,901","82,041","7,748","14,065","14,425","18,179","12,253","13,399",53.3,"23,301","120,784","8,415",0,"1,677",0,"82,014"
12086,"Miami-Dade County, Florida","2,662,777","1,304,203","1,358,574","153,837","359,237","366,048","381,098","192,386","163,291",40.9,"1,838,864","334,050","382,195","1,186","39,746",276,"1,084,304"
12087,"Monroe County, Florida","82,170","44,286","37,884","3,256","9,240","10,633","11,887","7,015","6,964",48.2,"21,132","52,606","4,804",0,720,0,"54,416"
12089,"Nassau County, Florida","94,189","47,081","47,108","5,563","10,272","10,893","11,389","5,551","8,251",46.9,"4,906","79,910","3,436",160,"1,330",0,"43,388"
12091,"Okaloosa County, Florida","213,255","107,487","105,768","14,634","31,129","28,741","23,626","14,203","14,182",37.6,"21,773","149,793","18,632",95,"7,157","1,042","102,272"
12095,"Orange County, Florida","1,422,746","701,757","720,989","95,844","229,906","210,397","186,083","87,123","78,960",36.6,"470,271","520,389","269,553",835,"70,579","2,024","575,853"
12097,"Osceola County, Florida","403,282","201,532","201,750","26,578","56,826","59,958","52,773","23,234","21,549",36.7,"227,089","110,055","37,147",172,"11,266",0,"162,313"
12099,"Palm Beach County, Florida","1,497,987","730,443","767,544","76,710","173,470","176,901","184,012","101,231","103,008",45.4,"358,176","760,688","265,922",444,"42,186",184,"713,808"
12101,"Pasco County, Florida","584,067","286,953","297,114","28,494","65,320","75,009","75,478","38,505","40,771",43.8,"105,710","404,466","33,743","1,073","17,647",262,"263,187"
12103,"Pinellas County, Florida","956,615","463,008","493,607","45,149","115,562","109,154","118,596","78,278","77,465",49.1,"101,194","684,765","95,143",962,"34,064",867,"517,775"
12105,"Polk County, Florida","753,520","371,364","382,156","44,465","99,082","95,763","88,602","45,845","45,409",39.9,"206,452","398,008","108,459",779,"12,854",168,"327,817"
12107,"Putnam County, Florida","74,167","36,347","37,820","3,519","7,331","8,048","9,746","4,461","6,323",45.9,"7,919","51,120","11,612",283,182,0,"36,213"
12109,"St. Johns County, Florida","292,466","142,648","149,818","13,474","25,950","39,250","41,416","20,201","21,344",44.4,"24,328","231,941","12,667",22,"10,700",311,"125,225"
